Year;Name;ATT;MID;DEF;OVR;Play WC;Round of 16;Quarter-finals;Semi-finals;Play-off for third place;Final;Winner
2006;Brésil;92;89;86;89;;;;;;;
2006;France;92;88;84;87;;;;;;;
2006;Italie;88;84;88;87;;;;;;;
2006;Espagne;86;86;85;87;;;;;;;
2006;Angleterre;91;85;86;86;;;;;;;
2006;Portugal;86;86;83;84;;;;;;;
2006;Argentine;87;81;85;83;;;;;;;
2006;Allemagne;85;81;82;83;;;;;;;
2006;République tchèque;85;75;79;80;;;;;;;
2006;Irlande;80;81;77;80;;;;;;;
2006;Danemark;82;79;78;79;;;;;;;
2006;Norvège;83;78;77;78;;;;;;;
2006;Croatie;80;74;81;78;;;;;;;
2006;Suède;85;74;76;77;;;;;;;
2006;Suisse;79;75;78;77;;;;;;;
2006;Grèce;65;81;77;77;;;;;;;
2006;Uruguay;84;77;72;76;;;;;;;
2006;Australie;83;73;72;76;;;;;;;
2006;Nigeria;83;72;76;75;;;;;;;
2006;Etats-Unis;74;77;74;75;;;;;;;
2006;Russie;80;70;75;74;;;;;;;
2006;Finlande;77;69;75;74;;;;;;;
2006;Ecosse;72;73;76;74;;;;;;;
2006;Bulgarie;80;78;68;73;;;;;;;
2006;Belgique;76;75;71;73;;;;;;;
2006;Turquie;75;76;70;73;;;;;;;
2006;Cameroun;93;70;72;72;;;;;;;
2006;Pologne;74;69;71;72;;;;;;;
2006;Paraguay;79;68;69;71;;;;;;;
2006;Pays de Galles;78;77;64;71;;;;;;;
2006;Mexique;72;68;69;71;;;;;;;
2006;Autriche;70;67;73;71;;;;;;;
2006;Slovénie;72;66;70;70;;;;;;;
2006;Roumanie;69;66;73;70;;;;;;;
2006;Irlande du Nord;65;67;70;69;;;;;;;
2006;Tunisie;69;70;68;67;;;;;;;
2006;Costa Rica;67;69;65;67;;;;;;;
2006;Chine;70;66;62;65;;;;;;;
2006;Hongrie;66;59;63;63;;;;;;;
